ONS Neighbourhood,"Cumulative Rate (per 100,000 population) Excluding Cases Linked to Outbreaks in LTCH & RH",Cumulative Number of Cases Excluding Those Linked to Outbreaks in LTCH & RH,"Rate (per 100,000 population) in September 2020, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in September 2020, Exlcuding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in August 2020 Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in August 2020, Exlcuding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in July 2020, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in July 2020, Exlcuding Those Linked to Outbreaks in LTCH & RH",Total Population
Bayshore - Belltown,734,68,215,20,215,20,97,9,9210
Beacon Hill South - Cardinal Heights,454,33,193,14,83,6,Suppressed,<5,7260
Beaverbrook,153,10,Suppressed,<5,Suppressed,<5,Suppressed,<5,6540
Beechwood Cemetery,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,
Bells Corners East,153,7,Suppressed,<5,Suppressed,<5,Suppressed,<5,4580
Bells Corners West,373,15,283,12,Suppressed,<5,Suppressed,<5,4140
Billings Bridge - Alta Vista,358,45,170,21,Suppressed,<5,Suppressed,<5,12645
Blackburn Hamlet,225,18,75,6,63,5,Suppressed,<5,8105
Borden Farm - Fisher Glen,112,8,Suppressed,<5,Suppressed,<5,Suppressed,<5,7265
Braemar Park - Bel Air Heights - Copeland Park,189,13,84,6,Suppressed,<5,Suppressed,<5,6770
Briar Green - Leslie Park,229,12,Suppressed,<5,Suppressed,<5,Suppressed,<5,5180
Bridlewood - Emerald Meadows,91,22,Suppressed,<5,21,5,Suppressed,<5,24240
Britannia Village,298,19,78,5,Suppressed,<5,Suppressed,<5,6375
Brookside - Briarbrook - Morgan's Grant,184,29,57,9,Suppressed,<5,Suppressed,<5,15785
Byward Market,332,17,176,9,Suppressed,<5,Suppressed,<5,5115
Cardinal Creek,425,48,187,21,71,8,Suppressed,<5,11325
Carleton Heights - Rideauview,612,39,298,19,Suppressed,<5,Suppressed,<5,6385
Carleton University,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,
Carlington,662,65,350,34,105,10,136,13,9820
Carlingwood West - Glabar Park - McKellar Heights,298,27,99,9,Suppressed,<5,Suppressed,<5,9075
Carp,107,7,Suppressed,<5,Suppressed,<5,Suppressed,<5,6655
Carson Grove - Carson Meadows,532,59,246,28,72,8,Suppressed,<5,11175
Centrepointe,131,9,Suppressed,<5,Suppressed,<5,Suppressed,<5,6970
Centretown,275,77,132,37,18,5,21,6,27985
Chapel Hill North,468,50,207,22,51,5,68,7,10605
Chapel Hill South,391,39,243,24,Suppressed,<5,Suppressed,<5,10055
Chapman Mills,291,35,83,10,50,6,58,7,12020
Chatelaine Village,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,4210
Cityview - Crestview - Meadowlands,393,34,81,7,58,5,Suppressed,<5,8645
Civic Hospital-Central Park,395,43,211,23,Suppressed,<5,Suppressed,<5,10920
Constance Bay,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,2225
Convent Glen - Orléans Woods,188,28,101,15,Suppressed,<5,Suppressed,<5,14785
Corkery,141,5,Suppressed,<5,Suppressed,<5,Suppressed,<5,3680
Crystal Bay - Lakeview Park,182,7,Suppressed,<5,Suppressed,<5,Suppressed,<5,3835
Cumberland,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,4210
